id.f2 	 id.f2.ma 	 id.f2.fa 	 fa.h 	 ma.h 	 ma.l 	 fa.l 
564	283	219	1712	1736	2029	2130
565	288	219	1712	1740	1992	2130
566	288	219	1712	1740	1992	2130
567	288	219	1712	1740	1992	2130
568	288	219	1712	1740	1992	2130
569	288	219	1712	1740	1992	2130
570	288	219	1712	1740	1992	2130
571	288	219	1712	1740	1992	2130
574	288	219	1712	1740	1992	2130
575	288	219	1712	1740	1992	2130
576	288	219	1712	1740	1992	2130
577	293	219	1712	1690	1925	2130
578	293	219	1712	1690	1925	2130
579	293	219	1712	1690	1925	2130
580	293	219	1712	1690	1925	2130
582	293	219	1712	1690	1925	2130
583	293	219	1712	1690	1925	2130
584	293	219	1712	1690	1925	2130
585	279	219	1712	1736	1988	2130
586	279	219	1712	1736	1988	2130
587	279	219	1712	1736	1988	2130
588	279	219	1712	1736	1988	2130
589	279	219	1712	1736	1988	2130
590	279	219	1712	1736	1988	2130
591	279	219	1712	1736	1988	2130
592	279	219	1712	1736	1988	2130
593	279	219	1712	1736	1988	2130
594	279	219	1712	1736	1988	2130
595	279	219	1712	1736	1988	2130
596	279	219	1712	1736	1988	2130
597	279	219	1712	1736	1988	2130
598	279	219	1712	1736	1988	2130
599	279	219	1712	1736	1988	2130
600	279	219	1712	1736	1988	2130
601	279	219	1712	1736	1988	2130
602	255	219	1712	1670	2039	2130
603	255	219	1712	1670	2039	2130
604	255	219	1712	1670	2039	2130
605	255	219	1712	1670	2039	2130
606	255	219	1712	1670	2039	2130
608	255	219	1712	1670	2039	2130
609	255	219	1712	1670	2039	2130
610	255	219	1712	1670	2039	2130
611	255	219	1712	1670	2039	2130
612	255	219	1712	1670	2039	2130
613	262	157	1844	1670	2100	1959
614	262	157	1844	1670	2100	1959
615	262	157	1844	1670	2100	1959
616	262	157	1844	1670	2100	1959
617	262	157	1844	1670	2100	1959
618	262	157	1844	1670	2100	1959
619	262	157	1844	1670	2100	1959
620	262	157	1844	1670	2100	1959
621	262	157	1844	1670	2100	1959
622	262	157	1844	1670	2100	1959
623	262	157	1844	1670	2100	1959
624	262	157	1844	1670	2100	1959
625	262	157	1844	1670	2100	1959
626	262	157	1844	1670	2100	1959
627	262	157	1844	1670	2100	1959
628	269	157	1844	1678	2132	1959
629	269	157	1844	1678	2132	1959
630	269	157	1844	1678	2132	1959
631	269	157	1844	1678	2132	1959
633	269	157	1844	1678	2132	1959
634	269	157	1844	1678	2132	1959
635	269	157	1844	1678	2132	1959
636	269	157	1844	1678	2132	1959
637	269	157	1844	1678	2132	1959
638	269	157	1844	1678	2132	1959
639	269	157	1844	1678	2132	1959
640	260	157	1844	1670	2068	1959
641	260	157	1844	1670	2068	1959
642	260	157	1844	1670	2068	1959
643	260	157	1844	1670	2068	1959
644	260	157	1844	1670	2068	1959
645	260	157	1844	1670	2068	1959
647	260	157	1844	1670	2068	1959
648	260	157	1844	1670	2068	1959
649	260	157	1844	1670	2068	1959
650	260	157	1844	1670	2068	1959
651	260	157	1844	1670	2068	1959
652	323	157	1844	1890	1937	1959
654	323	157	1844	1890	1937	1959
655	323	157	1844	1890	1937	1959
656	323	157	1844	1890	1937	1959
657	323	157	1844	1890	1937	1959
658	323	157	1844	1890	1937	1959
659	323	157	1844	1890	1937	1959
660	323	157	1844	1890	1937	1959
661	323	157	1844	1890	1937	1959
662	323	157	1844	1890	1937	1959
663	323	157	1844	1890	1937	1959
664	323	157	1844	1890	1937	1959
665	323	157	1844	1890	1937	1959
666	323	157	1844	1890	1937	1959
668	286	157	1844	1740	1992	1959
669	286	157	1844	1740	1992	1959
671	286	157	1844	1740	1992	1959
672	286	157	1844	1740	1992	1959
673	286	157	1844	1740	1992	1959
674	286	157	1844	1740	1992	1959
675	286	157	1844	1740	1992	1959
676	286	157	1844	1740	1992	1959
677	286	157	1844	1740	1992	1959
678	258	157	1844	1670	2068	1959
679	258	157	1844	1670	2068	1959
680	258	157	1844	1670	2068	1959
681	258	157	1844	1670	2068	1959
682	258	157	1844	1670	2068	1959
683	258	157	1844	1670	2068	1959
684	258	157	1844	1670	2068	1959
685	258	157	1844	1670	2068	1959
686	258	157	1844	1670	2068	1959
687	258	157	1844	1670	2068	1959
688	258	157	1844	1670	2068	1959
